,composition,pretty_composition,parent_guess,materials_project_id,tc,debyet,elecspecheat,unit_elecspecheat,neelt,a1,a2,b1,b2,c1,d1,d2,e1,e2,f1,f2,g1,g2,h1,h2,i1,i2,o1,o2,o_empirical,lata,latb,latc,unit_lat
1543,Y0.95Ca0.05Ba2Cu4O8,Ba2Ca0.05Y0.95Cu4O8,Ba2Y(CuO2)4,mp-6789,84.0,,,,,Y,0.95,Ca,0.05,2.0,Cu,4.0,,,,,,,,,,,O,8,,,,,
1544,Y0.9Ca0.1Ba2Cu4O8,Ba2Ca0.1Y0.9Cu4O8,Ba2Y(CuO2)4,mp-6789,89.5,,,,,Y,0.9,Ca,0.1,2.0,Cu,4.0,,,,,,,,,,,O,8,,,,,
1545,Y0.85Ca0.15Ba2Cu4O8,Ba2Ca0.15Y0.85Cu4O8,Ba2Y(CuO2)4,mp-6789,90.0,,,,,Y,0.85,Ca,0.15,2.0,Cu,4.0,,,,,,,,,,,O,8,,,,,
1546,Y0.8Ca0.2Ba2Cu4O8,Ba2Ca0.2Y0.8Cu4O8,Ba2Y(CuO2)4,mp-6789,90.0,,,,,Y,0.8,Ca,0.2,2.0,Cu,4.0,,,,,,,,,,,O,8,,,,,
1547,Y0.7Ca0.3Ba2Cu4O8,Ba2Ca0.3Y0.7Cu4O8,Ba2Y(CuO2)4,mp-6789,90.0,,,,,Y,0.7,Ca,0.3,2.0,Cu,4.0,,,,,,,,,,,O,8,,,,,
1548,La1.8Ba0.2Cu1O4-Y,Ba0.2La1.8Cu1O4,La2CuO4,mp-19735,31.0,330.0,6.0,,,La,1.8,Ba,0.2,1.0,,,,,,,,,,,,,O,4-Y,,,,,
1550,La1.8Sr0.2Cu1O4-Z,Sr0.2La1.8Cu1O4,La2CuO4,mp-19735,34.0,367.0,4.0,,,La,1.8,Sr,0.2,1.0,,,,,,,,,,,,,O,4-Z,,,,,
1552,Y1Ba2Cu3O7-Z,Ba2YCu3O7,Ba2YCu3O7,mp-20674,89.5,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7-Z,,3.82,3.89,3.89,
1554,Bi4Sr4Ca2Cu4O16.25,Sr4Ca2Cu4Bi4O16.25,Sr2CaCu2(BiO4)2,mp-555855,82.4,,,,,Bi,4.0,Sr,4.0,2.0,Cu,4.0,,,,,,,,,,,O,16+Y,16.25,5.412,,,
1590,Bi1.7Pb0.3Sr2Ca0.7Y0.3Cu2O8.25,Sr2Ca0.7Y0.3Cu2Bi1.7Pb0.3O8.25,Sr2CaCu2(BiO4)2,mp-555855,71.0,,,,,Bi,1.7,Pb,0.3,2.0,Ca,0.7,Y,0.3,Cu,2.0,,,,,,,O,8+Z,8.25,5.411,5.414,5.414,
1591,Bi1.7Pb0.3Sr2Ca0.7Y0.3Cu2O8.25,Sr2Ca0.7Y0.3Cu2Bi1.7Pb0.3O8.25,Sr2CaCu2(BiO4)2,mp-555855,72.0,,,,,Bi,1.7,Pb,0.3,2.0,Ca,0.7,Y,0.3,Cu,2.0,,,,,,,O,8+Z,8.25,5.409,5.424,5.424,
1592,Bi1.7Pb0.3Sr2Ca0.7Y0.3Cu2O8.26,Sr2Ca0.7Y0.3Cu2Bi1.7Pb0.3O8.26,Sr2CaCu2(BiO4)2,mp-555855,73.0,,,,,Bi,1.7,Pb,0.3,2.0,Ca,0.7,Y,0.3,Cu,2.0,,,,,,,O,8+Z,8.26,5.407,5.411,5.411,
1594,Y1Ba2Cu2.97Fe0.03O7-Z,Ba2Y1Fe0.03Cu2.97O7,Ba2YCu3O7,mp-20674,84.0,,,,,Y,1.0,Ba,2.0,2.97,Fe,0.03,,,,,,,,,,,O,7-Z,,,,,
1595,Y1Ba2Cu3O7-Z,Ba2YCu3O7,Ba2YCu3O7,mp-20674,91.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7-Z,,,,,
1598,Y1Ba2Cu2.895Fe0.105O7-Z,Ba2Y1Fe0.105Cu2.895O7,Ba2YCu3O7,mp-20674,63.0,,,,,Y,1.0,Ba,2.0,2.895,Fe,0.105,,,,,,,,,,,O,7-Z,,,,,
1600,Y1Ba2Cu2.901Co0.099O7-Z,Ba2Y1Co0.099Cu2.901O7,Ba2YCu3O7,mp-20674,70.0,,,,,Y,1.0,Ba,2.0,2.901,Co,0.099,,,,,,,,,,,O,7-Z,,,,,
1601,Y1Ba2Cu2.955Zn0.045O7-Z,Ba2Y1Zn0.045Cu2.955O7,Ba2YCu3O7,mp-20674,67.0,,,,,Y,1.0,Ba,2.0,2.955,Zn,0.045,,,,,,,,,,,O,7-Z,,,,,
1602,Y1Ba2Cu2.82Zn0.18O7-Z,Ba2Y1Zn0.18Cu2.82O7,Ba2YCu3O7,mp-20674,35.0,,,,,Y,1.0,Ba,2.0,2.82,Zn,0.18,,,,,,,,,,,O,7-Z,,,,,
1603,Y1Ba2Cu2.94Ni0.06O7-Z,Ba2Y1Cu2.94Ni0.06O7,Ba2YCu3O7,mp-20674,83.0,,,,,Y,1.0,Ba,2.0,2.94,Ni,0.06,,,,,,,,,,,O,7-Z,,,,,
1605,Tl2Ba2Ca1Cu2O8,Ba2CaTl2(CuO4)2,Ba2CaTl2(CuO4)2,mp-573069,113.1,,,,,Tl,2.0,Ba,2.0,1.0,Cu,2.0,,,,,,,,,,,O,8,,3.847,,,
1606,Bi2Sr2Ca1Cu2O8+X,Sr2CaCu2(BiO4)2,Sr2CaCu2(BiO4)2,mp-555855,85.0,,,,,Bi,2.0,Sr,2.0,1.0,Cu,2.0,,,,,,,,,,,O,8+X,,5.427,5.441,5.441,
1607,Bi2Sr2Ca1Cu2O8+X,Sr2CaCu2(BiO4)2,Sr2CaCu2(BiO4)2,mp-555855,82.0,,,,,Bi,2.0,Sr,2.0,1.0,Cu,2.0,,,,,,,,,,,O,8+X,,5.427,5.441,5.441,
1608,Tl1Ba1.2La0.8Cu1O5,Ba1.2La0.8Tl1Cu1O5,Ba2TlCuO5,mp-20942,52.0,,,,,Tl,1.0,Ba,1.2,0.8,Cu,1.0,,,,,,,,,,,O,5,,3.848,,,
1609,Bi2Sr2Ca1Cu2O8+X,Sr2CaCu2(BiO4)2,Sr2CaCu2(BiO4)2,mp-555855,80.0,,,,,Bi,2.0,Sr,2.0,1.0,Cu,2.0,,,,,,,,,,,O,8+X,,,,,
1613,Bi2Sr2Ca1Cu2O8+X,Sr2CaCu2(BiO4)2,Sr2CaCu2(BiO4)2,mp-555855,83.0,,,,,Bi,2.0,Sr,2.0,1.0,Cu,2.0,,,,,,,,,,,O,8+X,,5.407,5.415,5.415,
1614,Bi2Sr2Ca1Cu2O8+X,Sr2CaCu2(BiO4)2,Sr2CaCu2(BiO4)2,mp-555855,68.0,,,,,Bi,2.0,Sr,2.0,1.0,Cu,2.0,,,,,,,,,,,O,8+X,,5.401,5.408,5.408,
1615,Bi2Sr2Ca1Cu2O8+X,Sr2CaCu2(BiO4)2,Sr2CaCu2(BiO4)2,mp-555855,64.0,,,,,Bi,2.0,Sr,2.0,1.0,Cu,2.0,,,,,,,,,,,O,8+X,,5.401,5.412,5.412,
1616,Bi2Sr2Ca0.5Y0.5Cu2O8.33,Sr2Ca0.5Y0.5Cu2Bi2O8.33,Sr2CaCu2(BiO4)2,mp-555855,40.0,,,,,Bi,2.0,Sr,2.0,0.5,Y,0.5,Cu,2.0,,,,,,,,,O,8+Z,8.33,5.416,5.439,5.439,
1619,Bi2Sr2Ca1Cu2O8.23,Sr2Ca1Cu2Bi2O8.23,Sr2CaCu2(BiO4)2,mp-555855,70.0,,,,,Bi,2.0,Sr,2.0,1.0,Cu,2.0,,,,,,,,,,,O,8+Z,8.23,5.403,5.407,5.407,
1620,Bi2Sr2Ca0.9Y0.1Cu2O8.23,Sr2Ca0.9Y0.1Cu2Bi2O8.23,Sr2CaCu2(BiO4)2,mp-555855,90.0,,,,,Bi,2.0,Sr,2.0,0.9,Y,0.1,Cu,2.0,,,,,,,,,O,8+Z,8.23,5.407,5.416,5.416,
1621,Bi2Sr2Ca0.7Y0.3Cu2O8.3,Sr2Ca0.7Y0.3Cu2Bi2O8.3,Sr2CaCu2(BiO4)2,mp-555855,86.0,,,,,Bi,2.0,Sr,2.0,0.7,Y,0.3,Cu,2.0,,,,,,,,,O,8+Z,8.3,5.41,5.425,5.425,
1622,Bi2Sr2Ca0.65Y0.35Cu2O8.3,Sr2Ca0.65Y0.35Cu2Bi2O8.3,Sr2CaCu2(BiO4)2,mp-555855,74.0,,,,,Bi,2.0,Sr,2.0,0.65,Y,0.35,Cu,2.0,,,,,,,,,O,8+Z,8.3,5.412,5.428,5.428,
1623,Bi2Sr2Ca0.6Y0.4Cu2O8.29,Sr2Ca0.6Y0.4Cu2Bi2O8.29,Sr2CaCu2(BiO4)2,mp-555855,64.0,,,,,Bi,2.0,Sr,2.0,0.6,Y,0.4,Cu,2.0,,,,,,,,,O,8+Z,8.29,5.414,5.431,5.431,
1624,Er1Ba2Cu3O7,Ba2ErCu3O7,Ba2ErCu3O7,mp-622110,92.0,,,,0.62,Er,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,Z,7.0,,,,
1628,Tm1Ba2Cu3OZ,Ba2TmCu3O7,Ba2TmCu3O7,mp-622108,92.0,,,,,Tm,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,Z,,,,,
1629,Gd1Ba2Cu3OZ,Ba2GdCu3O7,Ba2GdCu3O7,mp-19813,91.1,,,,2.29,Gd,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,Z,,3.845,3.908,3.908,
1631,Dy1Ba2Cu3OZ,Ba2DyCu3O7,Ba2DyCu3O7,mp-622105,91.8,,,,0.88,Dy,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,Z,,3.831,3.894,3.894,
1633,Ho1Ba2Cu3OZ,Ba2HoCu3O7,Ba2HoCu3O7,mp-6616,92.4,,,,,Ho,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,Z,,3.828,3.89,3.89,
1635,Er1Ba2Cu3OZ,Ba2ErCu3O7,Ba2ErCu3O7,mp-622110,92.5,,,,0.62,Er,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,Z,,3.823,3.887,3.887,
1637,Tm1Ba2Cu3OZ,Ba2TmCu3O7,Ba2TmCu3O7,mp-622108,91.8,,,,,Tm,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,Z,,3.814,,,
1648,Y1Ba2Cu3O6.9,Ba2Y1Cu3O6.9,Ba2YCu3O7,mp-20674,92.5,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,Z,6.9,3.823,3.892,3.892,
1649,Y1Ba1.8Sr0.2Cu3O6.8,Ba1.8Sr0.2Y1Cu3O6.8,Ba2YCu3O7,mp-20674,90.5,,,,,Y,1.0,Ba,1.8,0.2,Cu,3.0,,,,,,,,,,,O,Z,6.8,3.815,3.883,3.883,
1650,Y1Ba2Cu3O7,Ba2YCu3O7,Ba2YCu3O7,mp-20674,90.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7,,,,,
1651,Y1Ba2Cu3O7,Ba2YCu3O7,Ba2YCu3O7,mp-20674,93.4,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7,,,,,
1654,Y1Ba1.6Sr0.4Cu3O6.8,Ba1.6Sr0.4Y1Cu3O6.8,Ba2YCu3O7,mp-20674,88.5,,,,,Y,1.0,Ba,1.6,0.4,Cu,3.0,,,,,,,,,,,O,Z,6.8,3.805,3.875,3.875,
1655,Y1Ba1.4Sr0.6Cu3O6.8,Ba1.4Sr0.6Y1Cu3O6.8,Ba2YCu3O7,mp-20674,86.0,,,,,Y,1.0,Ba,1.4,0.6,Cu,3.0,,,,,,,,,,,O,Z,6.8,3.803,3.869,3.869,
1656,Y1Ba1.2Sr0.8Cu3O6.8,Ba1.2Sr0.8Y1Cu3O6.8,Ba2YCu3O7,mp-20674,86.0,,,,,Y,1.0,Ba,1.2,0.8,Cu,3.0,,,,,,,,,,,O,Z,6.8,3.792,3.859,3.859,
1657,Y1Ba1Sr1Cu3O6.8,Ba1Sr1Y1Cu3O6.8,Ba2YCu3O7,mp-20674,83.5,,,,,Y,1.0,Ba,1.0,1.0,Cu,3.0,,,,,,,,,,,O,Z,6.8,3.792,3.85,3.85,
1658,Y1Ba0.8Sr1.2Cu3O6.8,Ba0.8Sr1.2Y1Cu3O6.8,Sr2YCu3O7,mvc-270,82.0,,,,,Y,1.0,Ba,0.8,1.2,Cu,3.0,,,,,,,,,,,O,Z,6.8,3.781,3.842,3.842,
1659,Y1Ba2Cu4O7.96,Ba2Y1Cu4O7.96,Ba2Y(CuO2)4,mp-6789,86.0,380.0,5.7,,,Y,1.0,Ba,2.0,4.0,,,,,,,,,,,,,O,8,7.96,,,,
1661,Nd1.85Ce0.15Cu1O4-Z,Ce0.15Nd1.85Cu1O4,Nd2CuO4,mp-4158,18.4,,,,,Nd,1.85,Ce,0.15,1.0,,,,,,,,,,,,,O,4-Z,,,,,
1662,Nd1.85Th0.15Cu1O4-Z,Nd1.85Th0.15Cu1O4,Nd2CuO4,mp-4158,15.9,,,,,Nd,1.85,Th,0.15,1.0,,,,,,,,,,,,,O,4-Z,,,,,
1663,Sm1.85Ce0.15Cu1O4-Z,Ce0.15Sm1.85Cu1O4,Sm2CuO4,mp-4210,21.1,,,,,Sm,1.85,Ce,0.15,1.0,,,,,,,,,,,,,O,4-Z,,,,,
1664,Pr1.85Ce0.15Cu1O4-Z,Ce0.15Pr1.85Cu1O4,Pr2CuO4,mp-10498,22.4,,,,,Pr,1.85,Ce,0.15,1.0,,,,,,,,,,,,,O,4-Z,,,,,
1665,Pr1.85Th0.15Cu1O4-Z,Pr1.85Th0.15Cu1O4,Pr2CuO4,mp-10498,15.5,,,,,Pr,1.85,Th,0.15,1.0,,,,,,,,,,,,,O,4-Z,,,,,
1666,Bi2Sr2Ca1Cu2O8.11,Sr2Ca1Cu2Bi2O8.11,Sr2CaCu2(BiO4)2,mp-555855,86.4,,,,,Bi,2.0,Sr,2.0,1.0,Cu,2.0,,,,,,,,,,,O,8+Z,8.11,,,,
1667,Bi2Sr2Ca1Cu2O8.16,Sr2Ca1Cu2Bi2O8.16,Sr2CaCu2(BiO4)2,mp-555855,92.7,,,,,Bi,2.0,Sr,2.0,1.0,Cu,2.0,,,,,,,,,,,O,8+Z,8.16,,,,
1668,Bi2Sr2Ca1Cu2O8.19,Sr2Ca1Cu2Bi2O8.19,Sr2CaCu2(BiO4)2,mp-555855,88.0,,,,,Bi,2.0,Sr,2.0,1.0,Cu,2.0,,,,,,,,,,,O,8+Z,8.19,,,,
1669,Bi2Sr2Ca1Cu2O8.22,Sr2Ca1Cu2Bi2O8.22,Sr2CaCu2(BiO4)2,mp-555855,78.5,,,,,Bi,2.0,Sr,2.0,1.0,Cu,2.0,,,,,,,,,,,O,8+Z,8.22,,,,
1670,Tl2Ba2Cu1O6.1,Ba2Tl2Cu1O6.1,Ba2Tl2CuO6,mp-6027,92.4,,,,,Tl,2.0,Ba,2.0,1.0,,,,,,,,,,,,,O,6+Y,6.1,,,,
1672,Tl2Ba2Cu1O6.12,Ba2Tl2Cu1O6.12,Ba2Tl2CuO6,mp-6027,87.8,,,,,Tl,2.0,Ba,2.0,1.0,,,,,,,,,,,,,O,6+Y,6.12,,,,
1673,Tl2Ba2Cu1O6.16,Ba2Tl2Cu1O6.16,Ba2Tl2CuO6,mp-6027,64.9,,,,,Tl,2.0,Ba,2.0,1.0,,,,,,,,,,,,,O,6+Y,6.16,,,,
1674,Tl2Ba2Cu1O6.19,Ba2Tl2Cu1O6.19,Ba2Tl2CuO6,mp-6027,45.3,,,,,Tl,2.0,Ba,2.0,1.0,,,,,,,,,,,,,O,6+Y,6.19,,,,
1676,Y1Ba2Cu4O7.986,Ba2Y1Cu4O7.986,Ba2Y(CuO2)4,mp-6789,80.0,,,,,Y,1.0,Ba,2.0,4.0,,,,,,,,,,,,,O,8,7.986,3.841,3.871,3.871,
1677,Y1Ba2Cu3OZ,Ba2YCu3O7,Ba2YCu3O7,mp-20674,92.4,,24.8,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,Z,,,,,
1678,Dy1Ba2Cu3OZ,Ba2DyCu3O7,Ba2DyCu3O7,mp-622105,92.1,,21.6,,,Dy,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,Z,,,,,
1692,Bi2Sr2Ca0.5Y0.5Cu2O8,Sr2Ca0.5Y0.5Cu2Bi2O8,Sr2CaCu2(BiO4)2,mp-555855,41.0,,,,,Bi,2.0,Sr,2.0,0.5,Y,0.5,Cu,2.0,,,,,,,,,O,8,,,,,
1693,Bi2Sr2Ca0.6Y0.4Cu2O8,Sr2Ca0.6Y0.4Cu2Bi2O8,Sr2CaCu2(BiO4)2,mp-555855,62.7,,,,,Bi,2.0,Sr,2.0,0.6,Y,0.4,Cu,2.0,,,,,,,,,O,8,,,,,
1694,Bi2Sr2Ca0.7Y0.3Cu2O8,Sr2Ca0.7Y0.3Cu2Bi2O8,Sr2CaCu2(BiO4)2,mp-555855,81.4,,,,,Bi,2.0,Sr,2.0,0.7,Y,0.3,Cu,2.0,,,,,,,,,O,8,,,,,
1696,Nd1Ba2Cu3O6.84,Ba2Nd1Cu3O6.84,Ba2NdCu3O7,mp-22719,93.0,,,,,Nd,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7-Z,6.84,,,,
1697,Nd1.1Ba1.9Cu3O6.9,Ba1.9Nd1.1Cu3O6.9,Ba2NdCu3O7,mp-22719,92.0,,,,,Nd,1.1,Ba,1.9,3.0,,,,,,,,,,,,,O,7-Z,6.9,,,,
1698,Nd1.2Ba1.8Cu3O6.96,Ba1.8Nd1.2Cu3O6.96,Ba2NdCu3O7,mp-22719,80.0,,,,,Nd,1.2,Ba,1.8,3.0,,,,,,,,,,,,,O,7-Z,6.96,,,,
1699,Nd1.3Ba1.7Cu3O7,Ba1.7Nd1.3Cu3O7,Ba2NdCu3O7,mp-22719,69.0,,,,,Nd,1.3,Ba,1.7,3.0,,,,,,,,,,,,,O,7-Z,7.0,,,,
1700,Nd1.4Ba1.6Cu3O7.09,Ba1.6Nd1.4Cu3O7.09,Ba2NdCu3O7,mp-22719,38.0,,,,,Nd,1.4,Ba,1.6,3.0,,,,,,,,,,,,,O,7-Z,7.09,,,,
1701,Nd1.5Ba1.5Cu3O7.14,Ba1.5Nd1.5Cu3O7.14,Ba2NdCu3O7,mp-22719,20.0,,,,,Nd,1.5,Ba,1.5,3.0,,,,,,,,,,,,,O,7-Z,7.14,,,,
1702,Bi2Sr2Ca0.8Y0.2Cu2O8,Sr2Ca0.8Y0.2Cu2Bi2O8,Sr2CaCu2(BiO4)2,mp-555855,89.6,,,,,Bi,2.0,Sr,2.0,0.8,Y,0.2,Cu,2.0,,,,,,,,,O,8,,,,,
1703,Bi2Sr2Ca0.9Y0.1Cu2O8,Sr2Ca0.9Y0.1Cu2Bi2O8,Sr2CaCu2(BiO4)2,mp-555855,76.0,,,,,Bi,2.0,Sr,2.0,0.9,Y,0.1,Cu,2.0,,,,,,,,,O,8,,,,,
1704,Bi2Sr2Ca1Cu2O8,Sr2CaCu2(BiO4)2,Sr2CaCu2(BiO4)2,mp-555855,71.8,,,,,Bi,2.0,Sr,2.0,1.0,Cu,2.0,,,,,,,,,,,O,8,,,,,
1707,La1.91Ba0.09Cu1O4,Ba0.09La1.91Cu1O4,La2CuO4,mp-19735,28.8,,2.26,,,La,1.91,Ba,0.09,1.0,,,,,,,,,,,,,O,4,,,,,
1708,La1.87Ba0.13Cu1O4,Ba0.13La1.87Cu1O4,La2CuO4,mp-19735,4.2,,2.0,,,La,1.87,Ba,0.13,1.0,,,,,,,,,,,,,O,4,,,,,
1709,La1.84Ba0.16Cu1O4,Ba0.16La1.84Cu1O4,La2CuO4,mp-19735,28.8,,5.5,,,La,1.84,Ba,0.16,1.0,,,,,,,,,,,,,O,4,,,,,
1711,La1.78Ba0.22Cu1O4,Ba0.22La1.78Cu1O4,La2CuO4,mp-19735,32.0,,12.2,,,La,1.78,Ba,0.22,1.0,,,,,,,,,,,,,O,4,,,,,
1718,Y1Ba2Cu3O6.7,Ba2Y1Cu3O6.7,Ba2YCu3O7,mp-20674,60.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,6.7,6.7,,,,
1720,Gd1Ba2Cu2.925Zn0.075Oz,Ba2Gd1Zn0.075Cu2.925O7,Ba2GdCu3O7,mp-19813,54.0,,,,2.12,Gd,1.0,Ba,2.0,2.925,Zn,0.075,,,,,,,,,,,O,z,,3.836,3.891,3.891,
1721,Gd1Ba2Cu2.85Zn0.15Oz,Ba2Gd1Zn0.15Cu2.85O7,Ba2GdCu3O7,mp-19813,37.0,,,,2.06,Gd,1.0,Ba,2.0,2.85,Zn,0.15,,,,,,,,,,,O,z,,3.833,3.887,3.887,
1722,Gd1Ba2Cu2.775Zn0.225Oz,Ba2Gd1Zn0.225Cu2.775O7,Ba2GdCu3O7,mp-19813,35.0,,,,2.05,Gd,1.0,Ba,2.0,2.775,Zn,0.225,,,,,,,,,,,O,z,,3.841,3.894,3.894,
1724,Gd1Ba2Cu3OZ,Ba2GdCu3O7,Ba2GdCu3O7,mp-19813,91.0,,,,2.19,Gd,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,Z,,3.834,3.897,3.897,
1725,Gd1Ba2Cu2.925Ni0.075OZ,Ba2Gd1Cu2.925Ni0.075O7,Ba2GdCu3O7,mp-19813,79.0,,,,2.11,Gd,1.0,Ba,2.0,2.925,Ni,0.075,,,,,,,,,,,O,Z,,3.821,3.876,3.876,
1726,Gd1Ba2Cu2.85Ni0.15OZ,Ba2Gd1Cu2.85Ni0.15O7,Ba2GdCu3O7,mp-19813,71.0,,,,2.06,Gd,1.0,Ba,2.0,2.85,Ni,0.15,,,,,,,,,,,O,Z,,3.834,3.888,3.888,
1727,Gd1Ba2Cu2.775Ni0.225OZ,Ba2Gd1Cu2.775Ni0.225O7,Ba2GdCu3O7,mp-19813,65.0,,,,1.99,Gd,1.0,Ba,2.0,2.775,Ni,0.225,,,,,,,,,,,O,Z,,3.833,3.882,3.882,
1731,Y1Ba2Cu3O7-Z,Ba2YCu3O7,Ba2YCu3O7,mp-20674,93.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7-Z,,,,,
1733,Y1Ba2Cu3O7-Z,Ba2YCu3O7,Ba2YCu3O7,mp-20674,90.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7-Z,,,,,
1743,Ho1Ba2Cu3O7,Ba2HoCu3O7,Ba2HoCu3O7,mp-6616,95.0,,,,,Ho,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7,,3.818,3.89,3.89,
1746,Dy1Ba2Cu3O7-Z,Ba2DyCu3O7,Ba2DyCu3O7,mp-622105,90.0,,,,,Dy,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7-Z,,,,,
1749,Y1Ba2Cu2.88Fe0.12OZ,Ba2Y1Fe0.12Cu2.88O7,Ba2YCu3O7,mp-20674,76.1,,,,,Y,1.0,Ba,2.0,2.88,Fe,0.12,,,,,,,,,,,O,Z,,,,,
1752,Y1Ba2Cu3O7-Y,Ba2YCu3O7,Ba2YCu3O7,mp-20674,84.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7-Y,,,,,
1754,Y1Ba2Cu3O7-Y,Ba2YCu3O7,Ba2YCu3O7,mp-20674,90.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7-Y,,,,,
1756,Y1Ba2Cu3O7,Ba2YCu3O7,Ba2YCu3O7,mp-20674,93.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7,,,,,
1757,Y1Ba2Cu3O7,Ba2YCu3O7,Ba2YCu3O7,mp-20674,93.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7,,,,,
1758,Y1Ba2Cu3O7,Ba2YCu3O7,Ba2YCu3O7,mp-20674,90.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7,,,,,
1759,La1.83Sr0.17Cu1O4,Sr0.17La1.83Cu1O4,La2CuO4,mp-19735,37.0,,,,,La,1.83,Sr,0.17,1.0,,,,,,,,,,,,,O,4,,,,,
1760,La1.8Ba0.2Cu1O4-Y,Ba0.2La1.8Cu1O4,La2CuO4,mp-19735,25.6,,,,,La,1.8,Ba,0.2,1.0,,,,,,,,,,,,,O,4-Y,,,,,
1761,La1.84Sr0.16Cu1O4-Y,Sr0.16La1.84Cu1O4,La2CuO4,mp-19735,38.5,,,,,La,1.84,Sr,0.16,1.0,,,,,,,,,,,,,O,4-Y,,,,,
1762,La1.85Sr0.15Cu1O4,Sr0.15La1.85Cu1O4,La2CuO4,mp-19735,32.0,,,,,La,1.85,Sr,0.15,1.0,,,,,,,,,,,,,O,4,,,,,
1763,La1.85Sr0.15Cu1O4,Sr0.15La1.85Cu1O4,La2CuO4,mp-19735,35.0,,,,,La,1.85,Sr,0.15,1.0,,,,,,,,,,,,,O,4,,,,,
1764,Y1Ba2Cu3O7-Y,Ba2YCu3O7,Ba2YCu3O7,mp-20674,90.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7-Y,,,,,
1765,La1.85Sr0.15Cu1O4-Y,Sr0.15La1.85Cu1O4,La2CuO4,mp-19735,36.0,,,,,La,1.85,Sr,0.15,1.0,,,,,,,,,,,,,O,4-Y,,,,,
1766,La1.85Sr0.15Cu1O4-Y,Sr0.15La1.85Cu1O4,La2CuO4,mp-19735,35.9,,,,,La,1.85,Sr,0.15,1.0,,,,,,,,,,,,,O,4-Y,,,,,
1767,La1.85Ba0.15Cu1O4,Ba0.15La1.85Cu1O4,La2CuO4,mp-19735,28.0,,,,,La,1.85,Ba,0.15,1.0,,,,,,,,,,,,,O,4,,,,,
1768,La1.85Sr0.15Cu1O4,Sr0.15La1.85Cu1O4,La2CuO4,mp-19735,36.0,,,,,La,1.85,Sr,0.15,1.0,,,,,,,,,,,,,O,4,,,,,
1769,La1.85Sr0.15Cu1O4-Y,Sr0.15La1.85Cu1O4,La2CuO4,mp-19735,40.0,,,,,La,1.85,Sr,0.15,1.0,,,,,,,,,,,,,O,4-Y,,,,,
1770,La1.85Sr0.15Cu1O4-Y,Sr0.15La1.85Cu1O4,La2CuO4,mp-19735,36.0,,,,,La,1.85,Sr,0.15,1.0,,,,,,,,,,,,,O,4-Y,,,,,
1771,La1.825Sr0.175Cu1O4,Sr0.175La1.825Cu1O4,La2CuO4,mp-19735,36.0,,,,,La,1.825,Sr,0.175,1.0,,,,,,,,,,,,,O,4,,,,,
1772,La1.8Sr0.2Cu1O4,Sr0.2La1.8Cu1O4,La2CuO4,mp-19735,30.0,,,,,La,1.8,Sr,0.2,1.0,,,,,,,,,,,,,O,4,,,,,
1773,La1.85Sr0.15Cu1O4,Sr0.15La1.85Cu1O4,La2CuO4,mp-19735,35.0,,,,,La,1.85,Sr,0.15,1.0,,,,,,,,,,,,,O,4,,,,,
1774,La1.85Sr0.15Cu1O4,Sr0.15La1.85Cu1O4,La2CuO4,mp-19735,34.0,,,,,La,1.85,Sr,0.15,1.0,,,,,,,,,,,,,O,4,,,,,
1775,La1.85Sr0.15Cu1O4-Y,Sr0.15La1.85Cu1O4,La2CuO4,mp-19735,37.0,,,,,La,1.85,Sr,0.15,1.0,,,,,,,,,,,,,O,4-Y,,,,,
